ID_Istanza;ID_Base;Nickname;Livello;HP_Max;HP_Attuali;EXP;;;;;;;
2002;32;Blazion;5;12;12;0;;;;;;;
2003;33;Blazion;5;12;12;0;;;;;;;
2004;34;Crawgoyle;5;12;12;0;;;;;;;
2005;35;Crawgoyle;5;12;12;0;;;;;;;
2006;36;Chimzap;5;12;12;0;;;;;;;
2007;37;Chimzap;5;12;12;0;;;;;;;
2008;38;Chimzap;5;12;12;0;;;;;;;
2009;39;RS-219;5;12;12;0;;;;;;;
2010;40;RS-219;5;12;12;0;;;;;;;
2011;41;RS-219;5;12;12;0;;;;;;;
2012;42;Felvex;5;12;12;0;;;;;;;
2013;43;Felvex;5;12;12;0;;;;;;;
2014;44;Felvex;5;12;12;0;;;;;;;
2015;45;Spectron;5;12;12;0;;;;;;;
2016;46;Spectron;5;12;12;0;;;;;;;
2017;47;Weedrug;5;12;12;0;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
